,_id,ask_hedge,ask_lead,bid_hedge,bid_lead,cancelTime,cancel_order,className,datetime,delta,deltaUSD,direction,edge_ask,edge_bid,exchange,frontID,gatewayName,inited,mm_cancel,mm_threshold,offset,on_order,on_timer,on_trade,orderID,orderTime,order_type,p1,p2,pos_hedge,pos_lead,price,qty_hedge,qty_lead,rawData,send_order,sessionID,skew,status,stop,symbol,symbol_hedge,symbol_lead,target_ask,target_bid,totalVolume,tradeID,tradeTime,tradedVolume,trading,volume,vtOrderID,vtSymbol,vtTradeID,vt_order_id,vt_symbol
0,59686356f6daaa379c923461,47130.0,2.6705,47120.0,2.67,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:23:18.390,-0.397616977642,-13821.2661908,,-5490.55321575,-5488.349405,,,,True,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-10,5.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6765,2.669,,,,,False,,,,,,
1,59686357f6daaa379c92346c,47130.0,2.6705,47120.0,2.67,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:23:19.387,-0.397447006286,-13815.113403,,-5489.81615775,-5487.612485,,,,True,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-10,5.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6765,2.669,,,,,False,,,,,,
2,59686358f6daaa379c92346d,47130.0,2.6705,47120.0,2.67,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:23:20.393,-0.397447006286,-13815.113403,,-5489.81615775,-5487.612485,,,,True,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-10,5.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6765,2.669,,,,,True,,,,,,
3,59686358f6daaa379c92346e,47130.0,2.6705,47120.0,2.67,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:23:20.396,-0.397454088426,-13815.3697648,,-5489.8468685,-5487.64319,,,,True,2.0,3.0,,,,,,,买开,-5500.0,-5400.0,-10,5.0,2.669,1.0,2.0,,True,,10,,False,,cu1709,HGU7,2.6765,2.669,,,,,True,2.0,,,,IB.1018,HGU7.NYMEX
4,59686359f6daaa379c92347a,47130.0,2.6705,47120.0,2.67,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:23:21.376,-0.3976807169,-13823.5735424,,-5490.8296125,-5488.62575,,,,True,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-10,5.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6765,2.669,,,,,True,,,,,,
5,59686359f6daaa379c92347c,47130.0,2.6705,47120.0,2.67,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:23:21.704,-0.3976807169,-13823.5735424,多,-5490.8296125,-5488.62575,NYMEX,0.0,IB,True,2.0,3.0,,True,,,1018,,,-5500.0,-5400.0,-10,5.0,2.669,1.0,2.0,,,0.0,10,,,HGU7,cu1709,HGU7,2.6765,2.669,2.0,,,0.0,True,,IB.1018,HGU7.NYMEX,,,
6,59686359f6daaa379c92347d,47130.0,2.6705,47120.0,2.67,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:23:21.705,-0.3976807169,-13823.5735424,多,-5490.8296125,-5488.62575,NYMEX,0.0,IB,True,2.0,3.0,,True,,,1018,,,-5500.0,-5400.0,-10,5.0,2.669,1.0,2.0,,,0.0,10,未成交,,HGU7,cu1709,HGU7,2.6765,2.669,2.0,,,0.0,True,,IB.1018,HGU7.NYMEX,,,
7,5968635af6daaa379c923482,47130.0,2.6705,47120.0,2.67,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:23:22.376,-0.395607455035,-13748.5374773,,-5490.67605875,-5488.472225,,,,True,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-10,5.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6765,2.669,,,,,True,,,,,,
8,5968635bf6daaa379c923485,47130.0,2.6705,47120.0,2.67,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:23:23.391,-0.397645306201,-13822.2916767,,-5490.67605875,-5488.472225,,,,True,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-10,5.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6765,2.669,,,,,True,,,,,,
9,5968635cf6daaa379c923487,47130.0,2.6705,47120.0,2.67,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:23:24.395,-0.397645306201,-13822.2916767,,-5490.67605875,-5488.472225,,,,True,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-10,5.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6765,2.669,,,,,True,,,,,,
