,vtSymbol,fSymbol,vtType,strikePrice,oSymbol,term,benchMark,defa_v
m1701,m1701,m1701,F,,,-0.05,,3
m1703,m1703,m1703,F,,,0.11,,3
m1703-C-2250,m1703-C-2250,m1703,C,2250,m1703-2250,0.11,2245.06,3
m1703-C-2300,m1703-C-2300,m1703,C,2300,m1703-2300,0.11,2294.95,3
m1703-C-2350,m1703-C-2350,m1703,C,2350,m1703-2350,0.11,2344.84,3
m1703-C-2400,m1703-C-2400,m1703,C,2400,m1703-2400,0.11,2394.73,3
m1703-C-2450,m1703-C-2450,m1703,C,2450,m1703-2450,0.11,2444.62,3
m1703-C-2500,m1703-C-2500,m1703,C,2500,m1703-2500,0.11,2494.51,3
m1703-C-2550,m1703-C-2550,m1703,C,2550,m1703-2550,0.11,2544.4,3
m1703-C-2600,m1703-C-2600,m1703,C,2600,m1703-2600,0.11,2594.29,3
m1703-C-2650,m1703-C-2650,m1703,C,2650,m1703-2650,0.11,2644.18,3
m1703-C-2700,m1703-C-2700,m1703,C,2700,m1703-2700,0.11,2694.07,3
m1703-C-2750,m1703-C-2750,m1703,C,2750,m1703-2750,0.11,2743.96,3
m1703-C-2800,m1703-C-2800,m1703,C,2800,m1703-2800,0.11,2793.85,3
m1703-C-2850,m1703-C-2850,m1703,C,2850,m1703-2850,0.11,2843.74,3
m1703-C-2900,m1703-C-2900,m1703,C,2900,m1703-2900,0.11,2893.63,3
m1703-C-2950,m1703-C-2950,m1703,C,2950,m1703-2950,0.11,2943.52,3
m1703-C-3000,m1703-C-3000,m1703,C,3000,m1703-3000,0.11,2993.41,3
m1703-C-3050,m1703-C-3050,m1703,C,3050,m1703-3050,0.11,3043.3,3
m1703-C-3100,m1703-C-3100,m1703,C,3100,m1703-3100,0.11,3093.19,3
m1703-C-3150,m1703-C-3150,m1703,C,3150,m1703-3150,0.11,3143.08,3
m1703-C-3200,m1703-C-3200,m1703,C,3200,m1703-3200,0.11,3192.97,3
m1703-C-3250,m1703-C-3250,m1703,C,3250,m1703-3250,0.11,3242.86,3
m1703-C-3300,m1703-C-3300,m1703,C,3300,m1703-3300,0.11,3292.75,3
m1703-C-3350,m1703-C-3350,m1703,C,3350,m1703-3350,0.11,3342.64,3
m1703-C-3400,m1703-C-3400,m1703,C,3400,m1703-3400,0.11,3392.53,3
m1703-C-3450,m1703-C-3450,m1703,C,3450,m1703-3450,0.11,3442.42,3
m1703-C-3500,m1703-C-3500,m1703,C,3500,m1703-3500,0.11,3492.31,3
m1703-C-3550,m1703-C-3550,m1703,C,3550,m1703-3550,0.11,3542.2,3
m1703-P-2250,m1703-P-2250,m1703,P,2250,m1703-2250,0.11,2245.06,3
m1703-P-2300,m1703-P-2300,m1703,P,2300,m1703-2300,0.11,2294.95,3
m1703-P-2350,m1703-P-2350,m1703,P,2350,m1703-2350,0.11,2344.84,3
m1703-P-2400,m1703-P-2400,m1703,P,2400,m1703-2400,0.11,2394.73,3
m1703-P-2450,m1703-P-2450,m1703,P,2450,m1703-2450,0.11,2444.62,3
m1703-P-2500,m1703-P-2500,m1703,P,2500,m1703-2500,0.11,2494.51,3
m1703-P-2550,m1703-P-2550,m1703,P,2550,m1703-2550,0.11,2544.4,3
m1703-P-2600,m1703-P-2600,m1703,P,2600,m1703-2600,0.11,2594.29,3
m1703-P-2650,m1703-P-2650,m1703,P,2650,m1703-2650,0.11,2644.18,3
m1703-P-2700,m1703-P-2700,m1703,P,2700,m1703-2700,0.11,2694.07,3
m1703-P-2750,m1703-P-2750,m1703,P,2750,m1703-2750,0.11,2743.96,3
